mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_scale_pos_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
9.984067360560099,0.15643962224324545,0.8071121085232492,0.967550106961228,0.7,0.2,0.2,2,3,1000,10,0.2,"{'colsample_bytree': 0.7, 'scale_pos_weight': 10, 'learning_rate': 0.2, 'min_child_weight': 3, 'n_estimators': 1000, 'subsample': 0.2, 'max_depth': 2, 'gamma': 0.2}",181,0.797005364968727,0.9645015214062833,0.8233362891157568,0.9690663682300674,0.8009954422168163,0.9690824312473332,0.14536086806855558,0.004876637467031894,0.011587297812307253,0.00215568549337078
18.187616109848022,0.1787099838256836,0.8635215981940281,0.9078334620560385,0.7,0.8,0.001,5,5,500,10,0.6,"{'colsample_bytree': 0.7, 'scale_pos_weight': 10, 'learning_rate': 0.001, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.6, 'max_depth': 5, 'gamma': 0.8}",13,0.8686700524892759,0.904354129116034,0.8546981465232416,0.9122375477813468,0.867196310898601,0.9069087092707349,0.13652975269473594,0.009502561408549602,0.006268064724660036,0.0032841486211392136
4.1108724276224775,0.08080800374348958,0.8447458908588398,0.904974000943593,0.5,0.5,0.2,1,5,800,10,0.2,"{'colsample_bytree': 0.5, 'scale_pos_weight': 10, 'learning_rate': 0.2, 'min_child_weight': 5, 'n_estimators': 800, 'subsample': 0.2, 'max_depth': 1, 'gamma': 0.5}",98,0.8439072599205506,0.9034391534391535,0.8414632825279214,0.9089074604305045,0.8488680883719052,0.9025753889611211,0.04902437570551286,0.000833802853601874,0.0030804861728895914,0.0028036404809649545
18.56122096379598,0.4562544027964274,0.787792336575539,0.9758230736203681,0.7,0.9,0.1,3,2,1500,20,0.1,"{'colsample_bytree': 0.7, 'scale_pos_weight': 20, 'learning_rate': 0.1, 'min_child_weight': 2, 'n_estimators': 1500, 'subsample': 0.1, 'max_depth': 3, 'gamma': 0.9}",196,0.786214699318065,0.9757087621373335,0.7961516022352524,0.9755281988672974,0.7810097027654279,0.9762322598564737,0.652026820510793,0.0863853598755539,0.006281241321202717,0.0002985808717753254
56.310577710469566,0.5077452659606934,0.8503259902457132,0.9907985482963048,0.9,0.2,0.01,6,6,1000,10,0.8,"{'colsample_bytree': 0.9, 'scale_pos_weight': 10, 'learning_rate': 0.01, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.8, 'max_depth': 6, 'gamma': 0.2}",81,0.8489268128527167,0.9904999321665988,0.8471968814174137,0.9917445460227026,0.8548554216493148,0.9901511666996128,0.5088629757648166,0.0045346236159908215,0.0032792877054243553,0.000683906968089917
17.61161796251933,0.7330284118652344,0.8563351951583738,0.9155451747101516,0.2,0.6,0.001,9,6,1000,15,0.2,"{'colsample_bytree': 0.2, 'scale_pos_weight': 15, 'learning_rate': 0.001, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.2, 'max_depth': 9, 'gamma': 0.6}",58,0.8583184091533252,0.9125619706572088,0.8511817713338626,0.9168594392686366,0.8595056343147947,0.9172141142046099,0.807114360572116,0.17829401273823886,0.003676112867249643,0.0021144074652525114
25.686772346496582,0.1928375562032064,0.8639552967531856,0.8818184905800258,0.7,0.4,0.001,3,7,1000,15,0.6,"{'colsample_bytree': 0.7, 'scale_pos_weight': 15, 'learning_rate': 0.001, 'min_child_weight': 7, 'n_estimators': 1000, 'subsample': 0.6, 'max_depth': 3, 'gamma': 0.4}",9,0.8691763786654495,0.8778465802275326,0.8540953835630641,0.8870098687557229,0.8685940155405805,0.8805990227568221,0.34331273472281726,0.0016283883337556804,0.0069760639707830575,0.0038389920978982453
38.975688457489014,0.2818436622619629,0.8646414618946925,0.8833088154981317,0.8,0.2,0.001,3,9,1500,10,0.8,"{'colsample_bytree': 0.8, 'scale_pos_weight': 10, 'learning_rate': 0.001, 'min_child_weight': 9, 'n_estimators': 1500, 'subsample': 0.8, 'max_depth': 3, 'gamma': 0.2}",5,0.8695450026882864,0.8796951373141849,0.8547418642475676,0.8884383917367945,0.8696375366222695,0.8817929174434154,0.35530462589122763,0.010047437995212306,0.007000174560365259,0.0037268918827748753
17.662575403849285,0.2657223542531331,0.8151861479974934,0.9422099119749724,0.9,0.6,0.1,2,8,1500,10,0.1,"{'colsample_bytree': 0.9, 'scale_pos_weight': 10, 'learning_rate': 0.1, 'min_child_weight': 8, 'n_estimators': 1500, 'subsample': 0.1, 'max_depth': 2, 'gamma': 0.6}",173,0.8085518452475351,0.941939841463651,0.8266031250822126,0.9428759404870911,0.8104038313961978,0.9418139539741751,0.06982398766827926,0.0022357864544412034,0.008108349090349909,0.0004737491595193536
8.03959608078003,0.17974090576171875,0.8608878879801152,0.8839930244201254,0.6,0.2,0.001,4,4,500,15,0.1,"{'colsample_bytree': 0.6, 'scale_pos_weight': 15, 'learning_rate': 0.001, 'min_child_weight': 4, 'n_estimators': 500, 'subsample': 0.1, 'max_depth': 4, 'gamma': 0.2}",33,0.864664699124663,0.878747795414462,0.852910749298582,0.8897610084831572,0.8650882973402058,0.8834702693627572,0.022402475940944844,0.02723535538461739,0.005643339142664198,0.00451129472632286
